,img_coding,num_stage,num_cell,start_cell_dim,parameter_num,train_time,test_time,total_time,mac
0,"['rp', 'rerp', 'gad', 'regad', 'trgad', 'remk', 'trmk']",3,2,50,1769776,39.57488536834717,0.22929167747497559,39.804177045822144,52.7 MMac
1,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'mk', 'trmk']",3,2,29,645736,2.6341915130615234,0.226318359375,2.8605098724365234,20.59 MMac
2,"['regas', 'trgas', 'gad', 'remk', 'ctwav']",2,3,70,1120228,2.492094039916992,0.19182491302490234,2.6839189529418945,89.57 MMac
3,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'ctwav']",2,2,63,672930,2.083921432495117,0.15319323539733887,2.237114667892456,54.74 MMac
4,"['gas', 'trgas', 'gad', 'regad', 'mk', 'remk', 'trmk']",4,1,22,863122,2.777862548828125,0.15552091598510742,2.9333834648132324,9.81 MMac
5,"['trrp', 'trgas', 'regad', 'trmk']",2,3,43,447141,1.3825654983520508,0.12634682655334473,1.5089123249053955,36.19 MMac
6,"['rp', 'rerp', 'regas', 'regad', 'mk', 'ctwav']",2,3,24,139208,1.2935638427734375,0.13431525230407715,1.4278790950775146,12.13 MMac
7,"['trgas', 'trgad', 'mk', 'trmk']",2,3,86,1678914,3.8059473037719727,0.16247940063476562,3.9684267044067383,132.5 MMac
8,"['rp', 'rerp', 'gas', 'trmk']",3,1,58,1442911,3.0059337615966797,0.10686707496643066,3.1128008365631104,41.44 MMac
9,"['trrp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",2,2,16,49242,0.9740829467773438,0.15208911895751953,1.1261720657348633,5.09 MMac
10,"['rp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'mk', 'trmk']",3,1,25,299983,0.9886860847473145,0.11589455604553223,1.1045806407928467,10.48 MMac
11,"['rp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,3,47,2266478,6.8167805671691895,0.28592848777770996,7.102709054946899,66.86 MMac
12,"['rerp', 'trrp', 'trgas', 'gad', 'mk', 'ctwav']",2,2,90,1315666,3.5163402557373047,0.15416526794433594,3.6705055236816406,105.01 MMac
13,"['rp', 'trgad', 'mk', 'remk', 'ctwav']",2,1,77,589662,1.5203237533569336,0.10571932792663574,1.6260430812835693,47.16 MMac
14,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trmk']",3,2,33,826490,3.473019599914551,0.22411823272705078,3.6971378326416016,25.92 MMac
15,"['rerp', 'regas', 'trgas', 'regad', 'mk', 'remk', 'trmk']",3,2,13,144754,1.533961296081543,0.2145683765411377,1.7485296726226807,5.18 MMac
16,"['rp', 'trrp', 'regad', 'remk', 'ctwav']",2,1,52,267477,0.6905436515808105,0.07768011093139648,0.768223762512207,22.18 MMac
17,"['rerp', 'trrp', 'regas', 'trgas', 'trgad', 'remk', 'trmk']",2,1,75,568007,1.6090631484985352,0.11276412010192871,1.7218272686004639,46.82 MMac
18,"['rerp', 'trrp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,3,17,1305941,8.889663219451904,0.42498230934143066,9.314645528793335,14.31 MMac
19,"['rerp', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,39,163072,0.7992982864379883,0.10453009605407715,0.9038283824920654,14.27 MMac
20,"['rp', 'rerp', 'trrp', 'trgas', 'remk', 'trmk', 'ctwav']",4,3,13,792432,5.43665885925293,0.36406779289245605,5.800726652145386,8.73 MMac
21,"['gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,54,2059048,5.180561542510986,0.22070956230163574,5.401271104812622,60.34 MMac
22,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,1,35,136901,0.7388830184936523,0.11118698120117188,0.8500699996948242,12.76 MMac
23,"['trrp', 'gas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,48,233750,0.6776690483093262,0.11050844192504883,0.788177490234375,20.36 MMac
24,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'regad', 'mk', 'remk']",2,1,68,464289,0.9198904037475586,0.1437244415283203,1.063614845275879,39.87 MMac
25,"['gad', 'trgad', 'trmk', 'ctwav']",4,2,27,2261688,7.144010066986084,0.2745072841644287,7.418517351150513,22.4 MMac
26,"['gas', 'regad', 'remk', 'trmk', 'ctwav']",2,1,81,650405,1.5419483184814453,0.10355043411254883,1.6454987525939941,51.83 MMac
27,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'mk']",3,2,40,1139542,3.3815860748291016,0.22049474716186523,3.602080821990967,35.06 MMac
28,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'trgad', 'remk']",3,1,19,179057,1.072227954864502,0.15013933181762695,1.222367286682129,6.45 MMac
29,"['trrp', 'gas', 'regas', 'gad']",3,1,32,444218,1.1336565017700195,0.1449117660522461,1.2785682678222656,13.46 MMac
30,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,95,1513586,2.9894113540649414,0.18459725379943848,3.17400860786438,123.73 MMac
31,"['rerp', 'regad', 'trgad', 'mk']",3,1,63,1754738,2.7622461318969727,0.1412794589996338,2.9035255908966064,50.07 MMac
32,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",2,2,20,74192,1.1124849319458008,0.17949533462524414,1.291980266571045,7.32 MMac
33,"['rerp', 'gas', 'regas', 'trgad', 'trmk', 'ctwav']",2,3,29,213968,1.370704174041748,0.1964130401611328,1.5671172142028809,18.24 MMac
34,"['rp', 'gas', 'trgas', 'regad']",2,3,93,2002788,4.4745683670043945,0.18692731857299805,4.661495685577393,157.69 MMac
35,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'mk', 'trmk', 'ctwav']",2,2,58,560310,1.9759178161621094,0.11519551277160645,2.091113328933716,46.9 MMac
36,"['rp', 'trgas', 'gad', 'trgad', 'remk']",3,1,15,114606,0.9320735931396484,0.10678219795227051,1.038855791091919,4.04 MMac
37,"['rp', 'trrp', 'gas', 'trgas', 'trgad', 'mk']",2,3,36,305147,1.2838244438171387,0.13042092323303223,1.414245367050171,25.58 MMac
38,"['rerp', 'gas', 'gad', 'mk', 'remk']",3,2,45,1495622,4.745757579803467,0.1541759967803955,4.899933576583862,43.83 MMac
39,"['rerp', 'trrp']",3,2,23,409406,1.309370994567871,0.20596861839294434,1.5153396129608154,11.93 MMac
40,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,67,1078295,2.7138710021972656,0.1966259479522705,2.910496950149536,89.81 MMac
41,"['rp', 'trrp', 'regas', 'regad', 'remk', 'ctwav']",3,2,32,730322,2.785372734069824,0.147597074508667,2.932969808578491,22.38 MMac
42,"['rerp', 'trrp', 'trgas', 'trgad', 'remk', 'trmk']",2,3,94,2012000,4.020845890045166,0.17537760734558105,4.196223497390747,160.05 MMac
43,"['rp', 'gas', 'regas', 'gad', 'regad', 'mk', 'ctwav']",3,2,53,2061694,4.790496826171875,0.22115397453308105,5.011650800704956,61.02 MMac
44,"['rp', 'gad', 'trmk']",2,2,81,1083016,2.154660224914551,0.14113306999206543,2.295793294906616,84.74 MMac
45,"['rerp', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'ctwav']",3,3,19,401727,1.7518162727355957,0.28051185607910156,2.0323281288146973,12.9 MMac
46,"['rp', 'trrp', 'gad', 'regad', 'trgad', 'mk', 'trmk']",2,3,48,537662,2.862262725830078,0.19442248344421387,3.056685209274292,44.57 MMac
47,"['rp', 'gas', 'regad', 'trgad', 'remk', 'trmk']",4,1,27,1391707,3.948962688446045,0.19028782844543457,4.1392505168914795,14.79 MMac
48,"['rerp', 'trrp', 'regas', 'trgas', 'gad', 'mk', 'ctwav']",2,3,68,1064967,2.922964096069336,0.19475483894348145,3.1177189350128174,86.39 MMac
49,"['rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trmk']",4,1,14,352924,1.3211488723754883,0.19077539443969727,1.5119242668151855,4.47 MMac
50,"['rerp', 'trgas', 'regad', 'mk', 'remk', 'trmk']",2,2,35,219260,1.0458707809448242,0.14809918403625488,1.193969964981079,18.72 MMac
51,"['rp', 'rerp', 'regad', 'mk', 'ctwav']",3,1,44,836299,2.0824432373046875,0.14446330070495605,2.2269065380096436,25.03 MMac
52,"['regas', 'trgas', 'trgad', 'mk', 'trmk']",2,2,66,711316,2.052426338195801,0.11002373695373535,2.162450075149536,57.21 MMac
53,"['rp', 'rerp', 'trrp', 'gas', 'gad', 'regad', 'remk', 'ctwav']",3,3,22,485480,1.918649673461914,0.19523143768310547,2.1138811111450195,15.64 MMac
54,"['gas', 'trgas', 'regad', 'trgad', 'ctwav']",3,2,15,186202,1.318192481994629,0.1457195281982422,1.463912010192871,6.13 MMac
55,"['rp', 'rerp', 'trrp', 'regas', 'gad', 'mk', 'remk', 'trmk']",2,1,59,362087,0.6992936134338379,0.08323979377746582,0.7825334072113037,31.13 MMac
56,"['trrp', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",3,1,36,567713,1.568293571472168,0.1088404655456543,1.6771340370178223,18.58 MMac
57,"['rp', 'rerp', 'regas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,1,28,85647,0.5681872367858887,0.0795896053314209,0.6477768421173096,8.39 MMac
58,"['trgas', 'gad', 'remk', 'ctwav']",2,1,93,845884,1.622939109802246,0.10103058815002441,1.7239696979522705,65.96 MMac
59,"['trrp', 'regas', 'trgas', 'regad', 'trmk']",2,1,20,43357,0.6568670272827148,0.10148954391479492,0.7583565711975098,4.14 MMac
60,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk']",2,1,16,30302,0.6554245948791504,0.1101984977722168,0.7656230926513672,3.28 MMac
61,"['rerp', 'gas', 'regas', 'gad', 'mk', 'remk']",2,1,25,72093,0.6624341011047363,0.10977578163146973,0.772209882736206,6.78 MMac
62,"['rp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,1,87,768836,1.7525196075439453,0.14641118049621582,1.8989307880401611,64.76 MMac
63,"['rp', 'trgas', 'mk', 'trmk', 'ctwav']",3,2,21,347810,1.5227198600769043,0.2091512680053711,1.7318711280822754,10.93 MMac
64,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,410034,0.6970047950744629,0.11329507827758789,0.8102998733520508,34.96 MMac
65,"['rp', 'trrp', 'gas', 'trgas', 'gad', 'remk', 'trmk', 'ctwav']",3,1,42,768843,2.436232566833496,0.15739774703979492,2.593630313873291,24.52 MMac
66,"['rerp', 'gas', 'trgad', 'trmk', 'ctwav']",3,1,51,1164321,1.8970966339111328,0.10308551788330078,2.0001821517944336,34.28 MMac
67,"['rp', 'gas', 'regas', 'trgas', 'regad']",2,2,71,844526,2.5117874145507812,0.14809131622314453,2.659878730773926,67.58 MMac
68,"['rerp', 'trrp', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,3,29,894578,4.423236846923828,0.28897786140441895,4.712214708328247,27.74 MMac
69,"['rp', 'rerp', 'trrp', 'trgas', 'gad', 'trgad', 'mk']",4,1,17,579975,2.582859992980957,0.19951748847961426,2.7823774814605713,6.89 MMac
70,"['rp', 'rerp', 'gas', 'trgas', 'trgad', 'remk']",2,2,38,243296,1.146697998046875,0.1543724536895752,1.3010704517364502,20.67 MMac
71,"['trrp', 'gas', 'gad']",2,3,52,618659,2.635669708251953,0.12934637069702148,2.7650160789489746,49.23 MMac
72,"['mk', 'remk']",4,1,31,1808634,3.811633586883545,0.12708139419555664,3.9387149810791016,17.33 MMac
73,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",2,3,75,1340737,4.371857643127441,0.20651698112487793,4.578374624252319,110.77 MMac
74,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'remk', 'trmk', 'ctwav']",3,1,33,507341,1.751565933227539,0.11758828163146973,1.8691542148590088,16.78 MMac
75,"['gas', 'gad', 'regad', 'trgad', 'mk']",2,2,77,988534,1.893758773803711,0.11475849151611328,2.008517265319824,78.82 MMac
76,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'gad', 'mk', 'trmk', 'ctwav']",2,3,12,39257,1.283860206604004,0.1968367099761963,1.4806969165802002,4.05 MMac
77,"['trrp', 'gas', 'regas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",3,2,26,487254,1.4087677001953125,0.15911197662353516,1.5678796768188477,15.87 MMac
78,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'regad', 'mk', 'remk']",2,3,91,1937729,4.401969909667969,0.20444464683532715,4.606414556503296,155.8 MMac
79,"['regas', 'gad', 'trgad', 'trmk', 'ctwav']",3,2,47,1627658,4.765713214874268,0.21319913864135742,4.978912353515625,47.56 MMac
80,"['gas', 'regad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,3,93,2016606,4.023385047912598,0.17547106742858887,4.1988561153411865,161.23 MMac
81,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad']",3,2,49,1767326,4.16257381439209,0.14937829971313477,4.311952114105225,52.07 MMac
82,"['rp', 'rerp', 'gas', 'regas', 'trgas', 'mk', 'remk']",3,2,27,562452,2.820110321044922,0.15098285675048828,2.97109317779541,17.81 MMac
83,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",3,3,21,483324,1.607668399810791,0.18960189819335938,1.7972702980041504,15.09 MMac
84,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'mk', 'trmk', 'ctwav']",2,2,86,1219696,3.0782103538513184,0.16628813743591309,3.2444984912872314,100.54 MMac
85,"['rp', 'rerp', 'trrp', 'trgas', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",4,1,22,865278,2.435159683227539,0.1934521198272705,2.6286118030548096,10.36 MMac
86,"['gas', 'regas', 'gad', 'regad']",2,2,66,708082,1.9021272659301758,0.10800576210021973,2.0101330280303955,56.38 MMac
87,"['rp', 'rerp', 'gas', 'trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,43,455765,1.278078556060791,0.14013075828552246,1.4182093143463135,38.39 MMac
88,"['trrp', 'gas', 'remk', 'trmk', 'ctwav']",2,3,37,336956,1.2319207191467285,0.13091754913330078,1.3628382682800293,27.83 MMac
89,"['gad', 'mk', 'trmk', 'ctwav']",4,2,15,743658,4.070544242858887,0.18899869918823242,4.259542942047119,7.78 MMac
90,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'trmk', 'ctwav']",2,2,68,764628,1.9664525985717773,0.1203923225402832,2.0868449211120605,63.13 MMac
91,"['rp', 'trgas', 'gad', 'mk', 'remk']",3,3,26,670703,3.831648826599121,0.19245123863220215,4.024100065231323,20.29 MMac
92,"['rp', 'trrp', 'gas', 'trgas']",3,1,48,991190,1.814126968383789,0.1114358901977539,1.925562858581543,28.87 MMac
93,"['rerp', 'gas', 'gad', 'trgad', 'remk']",3,2,35,920072,2.7414798736572266,0.1407158374786377,2.8821957111358643,27.46 MMac
94,"['rerp', 'trrp', 'trgad', 'mk']",3,3,14,197670,1.6164660453796387,0.17754101753234863,1.7940070629119873,6.26 MMac
95,"['rp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,55,319860,0.7202863693237305,0.11081981658935547,0.8311061859130859,28.23 MMac
96,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'mk', 'remk']",2,1,94,859702,1.414632797241211,0.11265063285827637,1.5272834300994873,69.5 MMac
97,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,32,182514,1.174318790435791,0.20457100868225098,1.378889799118042,17.11 MMac
98,"['rerp', 'gas', 'regas', 'mk', 'trmk', 'ctwav']",2,1,19,44337,0.6607413291931152,0.10566473007202148,0.7664060592651367,4.39 MMac
99,"['rp', 'gas', 'gad']",4,3,24,2305016,8.687889575958252,0.3628103733062744,9.050699949264526,22.52 MMac
100,"['rp', 'rerp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'trmk']",2,3,70,1130518,2.9419660568237305,0.20397710800170898,3.1459431648254395,92.21 MMac
101,"['rp', 'rerp', 'trrp', 'regas', 'trgas', 'gad', 'remk']",3,2,37,1027654,3.330564498901367,0.21921277046203613,3.5497772693634033,31.39 MMac
102,"['rp', 'rerp', 'trrp', 'regas', 'trgad', 'remk']",3,2,45,1497876,4.087328910827637,0.15086078643798828,4.238189697265625,44.41 MMac
103,"['gas', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk', 'ctwav']",2,2,86,1211268,2.5254249572753906,0.13199806213378906,2.6574230194091797,98.38 MMac
104,"['rp', 'trrp', 'trgad', 'mk', 'remk', 'trmk']",2,2,85,1202840,2.9387354850769043,0.12149548530578613,3.0602309703826904,96.23 MMac
105,"['gas', 'trgad', 'mk']",3,1,55,1343148,3.130459785461426,0.13892149925231934,3.269381284713745,38.05 MMac
106,"['rp', 'trrp', 'regas', 'trgas', 'gad', 'trgad', 'remk', 'ctwav']",4,2,23,1668926,5.201303958892822,0.1979832649230957,5.399287223815918,17.89 MMac
107,"['regas', 'regad', 'trmk', 'ctwav']",3,1,21,212296,0.8519768714904785,0.0981907844543457,0.9501676559448242,6.77 MMac
108,"['rp', 'rerp', 'gas', 'regas', 'mk', 'ctwav']",2,3,40,374732,1.197206974029541,0.13103628158569336,1.3282432556152344,31.16 MMac
109,"['rp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",2,3,63,945234,2.6196718215942383,0.14028286933898926,2.7599546909332275,76.93 MMac
110,"['rerp', 'trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,63,403762,0.5973577499389648,0.07827186584472656,0.6756296157836914,33.36 MMac
111,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,61,382526,0.6811261177062988,0.08442950248718262,0.7655556201934814,32.24 MMac
112,"['rp', 'rerp', 'trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,60,359147,0.6088018417358398,0.08095455169677734,0.6897563934326172,30.38 MMac
113,"['rerp', 'trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,60,356207,0.6145000457763672,0.07862257957458496,0.6931226253509521,29.63 MMac
114,"['trrp', 'gas', 'regas', 'regad', 'trgad', 'remk']",2,3,64,942098,2.5834083557128906,0.13646221160888672,2.7198705673217773,76.13 MMac
115,"['trrp', 'gas', 'regad', 'trgad', 'remk']",2,1,59,353267,0.6006360054016113,0.07427763938903809,0.6749136447906494,28.88 MMac
116,"['rerp', 'trrp', 'regas', 'gad', 'regad', 'trgad']",2,1,63,403762,0.594174861907959,0.07929277420043945,0.6734676361083984,33.36 MMac
117,"['rerp', 'trrp', 'regas', 'gad', 'trgad']",2,1,63,400626,0.6860733032226562,0.10284900665283203,0.7889223098754883,32.56 MMac
118,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad']",2,1,63,406898,0.5856037139892578,0.11102032661437988,0.6966240406036377,34.16 MMac
119,"['trrp', 'regas', 'gad', 'trgad', 'ctwav']",2,1,63,400626,0.6684660911560059,0.10436201095581055,0.7728281021118164,32.56 MMac
120,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,63,410034,0.5923867225646973,0.0845792293548584,0.6769659519195557,34.96 MMac
121,"['rerp', 'trrp', 'regas', 'gad', 'regad', 'trgad', 'ctwav']",2,1,63,406898,0.5608677864074707,0.08081221580505371,0.6416800022125244,34.16 MMac
122,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'remk', 'trmk']",2,1,37,149636,0.6261587142944336,0.07986617088317871,0.7060248851776123,13.51 MMac
123,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'remk']",2,2,63,672930,2.1450042724609375,0.15085911750793457,2.295863389968872,54.74 MMac
124,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'trgad', 'remk']",2,1,14,23882,0.6376028060913086,0.10951638221740723,0.7471191883087158,2.68 MMac
125,"['rerp', 'trrp', 'trgas', 'gad', 'regad', 'remk', 'ctwav']",2,2,37,245158,1.0448336601257324,0.15470123291015625,1.1995348930358887,21.15 MMac
126,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'trgas', 'trgad']",2,1,16,30302,0.6275177001953125,0.11208367347717285,0.7396013736724854,3.28 MMac
127,"['rp', 'trrp', 'gas', 'regas', 'trgas']",2,1,15,28734,0.8116602897644043,0.10402607917785645,0.9156863689422607,2.88 MMac
128,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad']",2,1,15,29518,0.8343935012817383,0.10749387741088867,0.941887378692627,3.08 MMac
129,"['rerp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,406898,0.6402492523193359,0.0882713794708252,0.7285206317901611,34.16 MMac
130,"['gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,403762,0.6236791610717773,0.08533287048339844,0.7090120315551758,33.36 MMac
131,"['trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,406898,0.7152915000915527,0.11141610145568848,0.8267076015472412,34.16 MMac
132,"['rerp', 'trrp', 'gas', 'regas', 'regad', 'trgad', 'remk', 'trmk']",3,1,67,1992793,3.199160099029541,0.16031980514526367,3.3594799041748047,59.68 MMac
133,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'mk', 'remk', 'trmk']",2,1,88,760212,1.2573480606079102,0.11455321311950684,1.371901273727417,62.55 MMac
134,"['rp', 'rerp', 'gas', 'regas', 'trgad', 'trmk']",3,1,67,1986129,3.1728744506835938,0.1504666805267334,3.323341131210327,57.98 MMac
135,"['rerp', 'regas', 'trgas', 'gad', 'regad']",2,3,73,1250249,4.218542575836182,0.19600510597229004,4.414547681808472,99.75 MMac
136,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'remk']",2,1,64,413170,0.7598996162414551,0.14460468292236328,0.9045042991638184,35.77 MMac
137,"['rerp', 'trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'remk', 'ctwav']",2,1,63,416306,0.5638480186462402,0.11457586288452148,0.6784238815307617,36.57 MMac
138,"['rerp', 'regas', 'trgas', 'trgad', 'remk', 'ctwav']",4,1,12,259871,0.9580373764038086,0.13816165924072266,1.0961990356445312,3.3 MMac
139,"['rp', 'trgas', 'gad', 'regad', 'mk', 'ctwav']",4,2,15,745226,4.044485092163086,0.19386601448059082,4.238351106643677,8.18 MMac
140,"['rp', 'trgas', 'mk', 'trmk']",2,1,66,422055,0.6454944610595703,0.0813133716583252,0.7268078327178955,33.65 MMac
141,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,62,385564,0.5679011344909668,0.09520339965820312,0.6631045341491699,33.02 MMac
142,"['rp', 'rerp', 'gas', 'trgas', 'regad', 'trgad', 'mk', 'remk', 'ctwav']",4,2,14,574050,3.648209571838379,0.2584514617919922,3.906661033630371,6.95 MMac
143,"['regas', 'gad', 'mk', 'remk', 'trmk']",2,3,72,1184780,2.6058197021484375,0.13460397720336914,2.7404236793518066,94.6 MMac
144,"['trgas', 'gad', 'trgad', 'trmk', 'ctwav']",2,3,93,2007394,4.365813732147217,0.1940600872039795,4.559873819351196,158.87 MMac
145,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,93,864308,1.3745546340942383,0.11758565902709961,1.492140293121338,70.68 MMac
146,"['rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,19,46297,0.69122314453125,0.11552643775939941,0.8067495822906494,4.9 MMac
147,"['rerp', 'trrp', 'regas', 'regad', 'trgad', 'mk', 'remk']",2,1,63,406898,0.7013916969299316,0.11049318313598633,0.811884880065918,34.16 MMac
148,"['rerp', 'trrp', 'regas', 'regad', 'trgad', 'remk']",2,1,63,403762,0.6134748458862305,0.08048129081726074,0.6939561367034912,33.36 MMac
149,"['regas', 'trgad', 'mk', 'trmk']",2,2,17,56602,0.839078426361084,0.1126093864440918,0.9516878128051758,5.03 MMac
150,"['rp', 'regas', 'trgad', 'mk', 'trmk', 'ctwav']",2,2,17,58366,0.8414745330810547,0.10845756530761719,0.9499320983886719,5.48 MMac
151,"['rp', 'rerp', 'trrp', 'gas', 'trgas', 'gad', 'regad', 'trgad', 'trmk', 'ctwav']",3,3,30,897518,4.212069511413574,0.3367297649383545,4.548799276351929,28.49 MMac
152,"['rp', 'trrp', 'regas', 'gad', 'trgad', 'mk', 'remk', 'trmk']",2,2,18,60130,1.0019898414611816,0.15871667861938477,1.1607065200805664,5.93 MMac
153,"['gas', 'remk']",2,3,37,331370,1.3635873794555664,0.18460536003112793,1.5481927394866943,26.4 MMac
154,"['rp', 'gas', 'regas', 'gad', 'regad', 'trgad']",3,1,15,115390,0.869286060333252,0.10684657096862793,0.9761326313018799,4.24 MMac
155,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,66,438225,0.6784439086914062,0.12369608879089355,0.8021399974822998,37.79 MMac
156,"['rerp', 'trrp', 'gas', 'regas', 'remk', 'trmk', 'ctwav']",2,3,49,582063,2.86710262298584,0.20111322402954102,3.068215847015381,48.13 MMac
157,"['rerp', 'trrp', 'gas', 'regas', 'trmk', 'ctwav']",2,3,20,98167,1.4573454856872559,0.1975724697113037,1.6549179553985596,8.74 MMac
158,"['trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",2,1,16,30302,0.6486415863037109,0.11414313316345215,0.7627847194671631,3.28 MMac
159,"['trrp', 'gas', 'regas', 'gad', 'trgad', 'mk']",2,1,16,29518,0.6411194801330566,0.11253905296325684,0.7536585330963135,3.08 MMac
160,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'trgad', 'remk']",2,2,62,635098,2.158355712890625,0.15865492820739746,2.3170106410980225,52.33 MMac
161,"['rerp', 'trrp', 'gas', 'gad', 'regad', 'trgad', 'remk', 'trmk']",2,2,62,638136,2.075314521789551,0.1633918285369873,2.238706350326538,53.1 MMac
162,"['trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'trmk']",2,1,15,30302,0.8123993873596191,0.11200189590454102,0.9244012832641602,3.28 MMac
163,"['rp', 'trrp', 'gas', 'regas', 'trgas', 'trgad', 'mk', 'trmk']",2,1,16,31086,0.8514285087585449,0.11004209518432617,0.9614706039428711,3.48 MMac
164,"['trrp', 'gas', 'regas', 'trgas', 'gad', 'regad', 'trgad', 'trmk']",2,1,91,828991,1.1469125747680664,0.09196734428405762,1.238879919052124,67.91 MMac
165,"['gad', 'regad']",3,1,18,141477,0.8287310600280762,0.10158276557922363,0.9303138256072998,4.27 MMac
166,"['gas', 'gad', 'regad', 'remk', 'trmk', 'ctwav']",2,1,38,147774,0.5468845367431641,0.07950162887573242,0.6263861656188965,13.04 MMac
167,"['rerp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'mk']",3,2,15,187770,1.7369866371154785,0.15575242042541504,1.8927390575408936,6.53 MMac
168,"['rp', 'rerp', 'trrp', 'gas', 'regas', 'gad', 'regad', 'trgad', 'remk']",2,1,63,413170,0.7097005844116211,0.14749908447265625,0.8571996688842773,35.77 MMac
